"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.021645049719
381,0.0211999949137
381.8,0.0211406542729
382.7,0.0214627891797
383.5,0.0208880326882
384.3,0.021084704526
385.2,0.0207608741724
386,0.0214449869874
386.8,0.0208888804117
387.6,0.0208931190288
388.5,0.0210931817604
389.3,0.0213797122827
390.1,0.0206820358926
391,0.020704076702
391.8,0.0208473419632
392.6,0.0208329306647
393.5,0.0210084094165
394.3,0.0207574832787
395.1,0.0214458347109
395.9,0.0215221298204
396.8,0.0218179853005
397.6,0.0213856463467
398.4,0.0209550028399
399.3,0.0208312352178
400.1,0.021098268101
400.9,0.0209541551164
401.8,0.02106351144
402.6,0.021451768775
403.4,0.0213051126201
404.2,0.0211474360605
405.1,0.02100925714
405.9,0.0216984562956
406.7,0.021631486144
407.6,0.0214288802421
408.4,0.0218162898536
409.2,0.0219849868179
410.1,0.0217366038504
410.9,0.0210185820978
411.7,0.0209363529242
412.5,0.0210745318447
413.4,0.0211737154871
414.2,0.02127798547
415,0.0215806227376
415.9,0.0213483465154
416.7,0.021942600646
417.5,0.0220299161602
418.4,0.0222409992964
419.2,0.0213390215576
420,0.0216543746768
420.8,0.0220282207133
421.7,0.022329162534
422.5,0.0218722396006
423.3,0.0218713918771
424.2,0.0220934954181
425,0.0230785500538
425.8,0.0231896018243
426.7,0.0225020981155
427.5,0.021561972822
428.3,0.0213491942389
429.1,0.0221647041869
430,0.0226877495486
430.8,0.0227403084018
431.6,0.0226945313361
432.5,0.02304803201
433.3,0.0234998686029
434.1,0.023616006714
435,0.0233447352136
435.8,0.0228539033426
436.6,0.0229352847927
437.4,0.0231777336962
438.3,0.0233133694464
439.1,0.0235820977764
439.9,0.0235744682655
440.8,0.0235566660733
441.6,0.0237940286361
442.4,0.0240432593271
443.3,0.0238686282987
444.1,0.0242102608445
444.9,0.0239177962581
445.7,0.0243874350432
446.6,0.0237974195299
447.4,0.023387969109
448.2,0.0234176394293
449.1,0.0233379534261
449.9,0.0236660223969
450.7,0.0240483456677
451.6,0.0242263675898
452.4,0.0245807159872
453.2,0.0239966345379
454,0.0240517365615
454.9,0.0241407475225
455.7,0.0244645778761
456.5,0.0242848605071
457.4,0.0237948763595
458.2,0.0243840441494
459,0.0251868382459
459.9,0.0255937454965
460.7,0.0251554724787
461.5,0.0244476234073
462.3,0.0245196798996
463.2,0.0250927409442
464,0.0248163831032
464.8,0.0250825682629
465.7,0.0245942795622
466.5,0.0251834473521
467.3,0.0249808414503
468.2,0.0255708569636
469,0.0259633529157
469.8,0.0257683765248
470.6,0.0259167281266
471.5,0.0262863355459
472.3,0.0269026304858
473.1,0.0271976382425
474,0.0270569161517
474.8,0.0275630070446
475.6,0.0278520807372
476.5,0.0278419080559
477.3,0.0281233522376
478.1,0.0280987682578
478.9,0.0282191449861
479.8,0.0281123318329
480.6,0.028041123064
481.4,0.0281292863016
