"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0212293685308
381,0.0211895255292
381.8,0.0212488661699
382.7,0.0220169036054
383.5,0.0223941405356
384.3,0.0228866678535
385.2,0.0229231199613
386,0.0233181590838
386.8,0.0239946423879
387.6,0.0246092418809
388.5,0.0247287708858
389.3,0.0248593202953
390.1,0.0248423658266
391,0.025832506803
391.8,0.0264928833617
392.6,0.0273872315896
393.5,0.0280535422124
394.3,0.0283756771191
395.1,0.0278678907793
395.9,0.0272185346253
396.8,0.0278831498012
397.6,0.0280306536795
398.4,0.0282900570518
399.3,0.0275347354679
400.1,0.028066258064
400.9,0.0288283614354
401.8,0.0295201037613
402.6,0.0296828666616
403.4,0.0302983138781
404.2,0.0313410137077
405.1,0.0324769631156
405.9,0.0325600400125
406.7,0.0332288938057
407.6,0.0331542941431
408.4,0.0345487991997
409.2,0.0345708400092
410.1,0.0353871976806
410.9,0.034773445911
411.7,0.0353626137009
412.5,0.0357152666514
413.4,0.0365892695167
414.2,0.0371818282004
415,0.0381075421954
415.9,0.0391739782813
416.7,0.0399445588871
417.5,0.0405795037427
418.4,0.041461136119
419.2,0.0420469130151
420,0.0443764570247
420.8,0.0486125310479
421.7,0.0542431101278
422.5,0.0598516483982
423.3,0.063250171664
424.2,0.067198019718
425,0.0692198401194
425.8,0.0693156328679
426.7,0.0681898561413
427.5,0.0669021642379
428.3,0.0672124310165
429.1,0.0679118028534
430,0.0686883175233
430.8,0.0685806566466
431.6,0.0717426650729
432.5,0.0764432915406
433.3,0.0821942473487
434.1,0.0836353771945
435,0.085253681239
435.8,0.0909122351924
436.6,0.092950162339
437.4,0.0939716690827
438.3,0.0900865525631
439.1,0.0894651712825
439.9,0.0828783601638
440.8,0.0771053635462
441.6,0.0692376423116
442.4,0.0642335308529
443.3,0.0586741605419
444.1,0.0559292320473
444.9,0.0560640200741
445.7,0.0560267202428
446.6,0.0552146011885
447.4,0.0545932199079
448.2,0.054108322101
449.1,0.05431516662
449.9,0.0539184320507
450.7,0.0541481651026
451.6,0.054537270161
452.4,0.0544762340734
453.2,0.054558463247
454,0.0538150097912
454.9,0.0528384323898
455.7,0.0520178361012
456.5,0.0517143511101
457.4,0.0516965489179
458.2,0.0522102693217
459,0.0518432050728
459.9,0.0519415409917
460.7,0.0512760780923
461.5,0.0506419809601
462.3,0.0509632681434
463.2,0.051225214686
464,0.0519322160338
464.8,0.0521263447013
465.7,0.0520992175513
466.5,0.0521882285123
467.3,0.0522492645999
468.2,0.0527087307037
469,0.0537090443614
469.8,0.0548492323864
470.6,0.055857175555
471.5,0.0571660605444
472.3,0.0585656519417
473.1,0.0594421979773
474,0.0603619779083
474.8,0.0606485084306
475.6,0.060836703034
476.5,0.0610113340624
477.3,0.0613648347363
478.1,0.0624770478879
478.9,0.0628135940931
479.8,0.0622566397938
480.6,0.0620582725092
481.4,0.0618192144995
482.3,0.0628941278197
483.1,0.0623804074159
483.9,0.0626033586803
484.8,0.0618717733527
485.6,0.0612470011783
486.4,0.0601034222595
487.2,0.0590488543018
488.1,0.0582562328866
488.9,0.0564446478981
489.7,0.0558478505972
490.6,0.0549908022007
491.4,0.0554341615591
492.2,0.0544363910718
493.1,0.0539879453727
493.9,0.0528146961335
494.7,0.0518618549884
495.5,0.0511200969796
496.4,0.0501384332375
497.2,0.0493254664598
498,0.0488270050779
498.9,0.0493797207599
499.7,0.0498544458856
500.5,0.0497806939464
501.4,0.0497357646042
502.2,0.0500977425125
503,0.0513065961361
503.8,0.0517330010257
504.7,0.0523484482422
505.5,0.0525027339081
506.3,0.0531876944466
507.2,0.053714130702
508,0.0548051507676
508.8,0.0555714927562
509.7,0.0564293888762
510.5,0.0567218534625
511.3,0.0572008172054
512.2,0.0580892313692
513,0.0593735323788
513.8,0.0610816951078
514.6,0.0627347558133
515.4,0.0644005323703
516.2,0.0654203436671
517,0.0670098251147
517.8,0.0687256173546
518.7,0.0697242355654
519.5,0.070496511618
520.3,0.0709568254453
521.1,0.0725768249366
521.9,0.0737687240915
522.7,0.0745418478676
523.5,0.0757320515755
524.3,0.0756031976128
525.2,0.0761711723167
526,0.0756099794003
526.8,0.0768205284708
527.6,0.0769544687741
528.4,0.0769739664132
529.2,0.0764458347109
530,0.0765492569704
530.8,0.0771587701228
531.7,0.0771324906962
532.5,0.0773859600044
533.3,0.0778166035113
534.1,0.0786923018235
534.9,0.0805471207073
535.7,0.0842169154735
536.5,0.0930484982579
537.3,0.105051414427
538.2,0.119420326713
539,0.131283368514
539.8,0.147635105923
540.6,0.182055220705
541.4,0.260021193086
542.2,0.362596576893
543,0.423562303434
543.8,0.383258987988
544.7,0.273773810432
545.5,0.172312335224
546.3,0.123552978476
547.1,0.10998262167
547.9,0.106547646296
548.7,0.10676805439
549.5,0.107094427914
550.4,0.109674050338
551.2,0.111926451514
552,0.114391631274
552.8,0.117083153192
553.6,0.120189211872
554.4,0.125217059586
555.2,0.130615362444
556,0.135661860075
556.9,0.140454040674
557.7,0.144431559048
558.5,0.150552122276
559.3,0.1564844909
560.1,0.16364860168
560.9,0.170277798971
561.7,0.178286242296
562.5,0.186446428117
563.4,0.193630036537
564.2,0.199605639056
565,0.20550833736
565.8,0.21424751829
566.6,0.22275018438
567.4,0.229049617253
568.2,0.232851656875
569,0.238941702059
569.9,0.247236675907
570.7,0.255807159872
571.5,0.265834032705
572.3,0.28169409052
573.1,0.304754711223
573.9,0.349587413002
574.7,0.409663877657
575.5,0.446897586531
576.4,0.457823893933
577.2,0.441771402898
578,0.412869119978
578.8,0.363114535914
579.6,0.3091518527
580.4,0.280147842968
581.2,0.269341912295
582.1,0.26324169443
582.9,0.25871315582
583.7,0.255672371845
