"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0157797360189
381,0.0157030170477
381.8,0.0151884489204
382.7,0.0158971457152
383.5,0.0161972398125
384.3,0.0166473809584
385.2,0.0164507091207
386,0.0163252460517
386.8,0.0161302696608
387.6,0.0160904266592
388.5,0.0158064393072
389.3,0.015359689055
390.1,0.0152367691564
391,0.0152376168799
391.8,0.0156987784305
392.6,0.0159259683121
393.5,0.0162040216
394.3,0.0163727185643
395.1,0.0161938489187
395.9,0.0160666904029
396.8,0.0163371141799
397.6,0.0168245551571
398.4,0.0167109602163
399.3,0.0161294219374
400.1,0.015152844536
400.9,0.0153707094597
401.8,0.0156614785992
402.6,0.0159005366089
403.4,0.0156809762383
404.2,0.0151452150251
405.1,0.0149807566779
405.9,0.0151486059188
406.7,0.0154766748896
407.6,0.0155021065927
408.4,0.0155589040631
409.2,0.0161523104702
410.1,0.0167550418352
410.9,0.0160632995092
411.7,0.0157996575197
412.5,0.0150604426812
413.4,0.0155656858506
414.2,0.015450395463
415,0.0158657799479
415.9,0.0159344455465
416.7,0.0161005993405
417.5,0.0161082288514
418.4,0.0159157956308
419.2,0.0155834880429
420,0.0152342259861
420.8,0.0150307723608
421.7,0.015187601197
422.5,0.0156207878742
423.3,0.0163464391377
424.2,0.0162642099641
425,0.0160582131685
425.8,0.0156970829836
426.7,0.015353754991
427.5,0.0159658113137
428.3,0.0158420436917
429.1,0.0160811017014
430,0.0153834253113
430.8,0.0155232996787
431.6,0.0158522163729
432.5,0.0163871298628
433.3,0.0165973652756
434.1,0.0161463764062
435,0.0156216355976
435.8,0.0154164865254
436.6,0.0151028288531
437.4,0.01531899833
438.3,0.0151324991735
439.1,0.0155444927647
439.9,0.0157971143494
440.8,0.0157394691556
441.6,0.0163828912456
442.4,0.0157954189025
443.3,0.0160438018701
444.1,0.0157352305384
444.9,0.015941227334
445.7,0.0160463450404
446.6,0.0157674440291
447.4,0.016383738969
448.2,0.016134508278
449.1,0.016348982308
449.9,0.0155962038944
450.7,0.0158598458839
451.6,0.0157589667947
452.4,0.015975983995
453.2,0.0160853403186
454,0.0157581190712
454.9,0.0157835507744
455.7,0.0158784957995
456.5,0.0167694531336
457.4,0.0170458109746
458.2,0.0167940371133
459,0.0163040529658
459.9,0.0157369259853
460.7,0.0161302696608
461.5,0.0160760153607
462.3,0.0168304892212
463.2,0.0163769571815
464,0.0164074752253
464.8,0.0160209133372
465.7,0.0163540686486
466.5,0.0163243983283
467.3,0.0167847121555
468.2,0.0165168315489
469,0.0161133151921
469.8,0.0158335664573
470.6,0.01580220069
471.5,0.0162540372829
472.3,0.0162336919203
473.1,0.0163116824767
474,0.0162277578563
474.8,0.0164125615659
475.6,0.0166227969787
476.5,0.0170932834872
477.3,0.0170856539762
478.1,0.0171780558311
478.9,0.0174154183939
