"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0280697337301
381,0.0279366411502
381.8,0.0288886345719
382.7,0.0291353220925
383.5,0.0300737519392
384.3,0.0310248976374
385.2,0.0323058077533
386,0.0333663097751
386.8,0.0341843628934
387.6,0.0343301713249
388.5,0.0346997787442
389.3,0.0358950687928
390.1,0.0375099819435
391,0.0395004365776
391.8,0.0411187406221
392.6,0.04228181718
393.5,0.0432388969423
394.3,0.0443180488797
395.1,0.0455091003111
395.9,0.0473901986216
396.8,0.049044954774
397.6,0.0510591456643
398.4,0.052909725931
399.3,0.0546263658944
400.1,0.0569041987742
400.9,0.0588607444707
401.8,0.0609758144503
402.6,0.0635884980884
403.4,0.066436001119
404.2,0.0687630019582
405.1,0.0704864237091
405.9,0.072051321177
406.7,0.0750242872765
407.6,0.0776954638319
408.4,0.0796943957003
409.2,0.0803047565762
410.1,0.0812516636572
410.9,0.0822350228461
411.7,0.0833065452727
412.5,0.0843297474632
413.4,0.0860633418953
414.2,0.0879444402058
415,0.088447140205
415.9,0.0889574697151
416.7,0.0892677364936
417.5,0.0905427125455
418.4,0.0908088977052
419.2,0.0912768410434
420,0.0920957418852
420.8,0.0936453803311
421.7,0.0958130091639
422.5,0.0969820197859
423.3,0.0979382518247
424.2,0.0980518467655
425,0.0981349236625
425.8,0.0974677653162
426.7,0.0968336681841
427.5,0.0961961801582
428.3,0.0973999474411
429.1,0.0977229300713
430,0.0989224587371
430.8,0.0989589108449
431.6,0.10044666548
432.5,0.102788077618
433.3,0.104895518086
434.1,0.107139442028
435,0.109365563778
435.8,0.11320914185
436.6,0.117695294287
437.4,0.121351525478
438.3,0.125238337445
439.1,0.127440722939
439.9,0.131104583641
440.8,0.133863923434
441.6,0.138239871824
442.4,0.140495663895
443.3,0.14270822207
444.1,0.145671015488
444.9,0.148460873325
445.7,0.151332112612
446.6,0.152740181243
447.4,0.153804921882
448.2,0.155695345151
449.1,0.155682629299
449.9,0.157103413782
450.7,0.157038139078
451.6,0.157181404339
452.4,0.156316726431
453.2,0.155424921374
454,0.153540432169
454.9,0.151371955613
455.7,0.148951705196
456.5,0.148347278384
457.4,0.147582631842
458.2,0.145307342133
459,0.14394589829
459.9,0.1423657418
460.7,0.142657358663
461.5,0.141374753101
462.3,0.142448818697
463.2,0.142029195595
464,0.14244458008
464.8,0.142853182778
465.7,0.144335003349
466.5,0.146276290023
467.3,0.14809974314
468.2,0.15062172037
469,0.153495502827
469.8,0.157698515636
470.6,0.16065028865
471.5,0.165216974814
472.3,0.16759738223
473.1,0.171648652544
474,0.173550096217
474.8,0.175680425218
475.6,0.177774302112
476.5,0.179156091317
477.3,0.179925824199
478.1,0.179414646966
478.9,0.179009435162
479.8,0.177934521842
480.6,0.178137127743
481.4,0.178297347473
482.3,0.176856217628
483.1,0.174608055068
483.9,0.172604036859
484.8,0.172114900435
485.6,0.170728872613
486.4,0.169469155583
487.2,0.168600239058
488.1,0.166502971271
488.9,0.164840585607
489.7,0.162977289489
490.6,0.161704008884
491.4,0.160802031145
492.2,0.157903664708
493.1,0.155502064207
493.9,0.151686461009
494.7,0.150201249544
495.5,0.14780388766
496.4,0.146197451743
497.2,0.14542008935
498,0.1464382052
498.9,0.146212710765
499.7,0.147118079398
500.5,0.149571391029
501.4,0.151850071633
502.2,0.154624670448
503,0.156508311928
503.8,0.160439205514
504.7,0.162838262845
505.5,0.166548748336
506.3,0.169819265363
507.2,0.173190661479
508,0.177027457762
508.8,0.181126200588
509.7,0.185684409518
510.5,0.187538380679
511.3,0.190614769038
512.2,0.194575332943
513,0.199471783525
513.8,0.204453854175
514.6,0.211781575579
515.4,0.219976518061
516.2,0.228758085162
517,0.23627400117
517.8,0.245287844494
518.7,0.252439239423
519.5,0.257961309902
520.3,0.262547493706
521.1,0.268377287794
521.9,0.272400583234
522.7,0.276351822182
523.5,0.280514144266
524.3,0.283752447801
525.2,0.286488899062
526,0.289094800912
526.8,0.291250561617
527.6,0.290744470724
528.4,0.286115053025
529.2,0.284687486754
530,0.28333791104
530.8,0.281133830099
531.7,0.278372794859
532.5,0.274633486771
533.3,0.271296847317
534.1,0.264920271611
534.9,0.262350821868
535.7,0.26021879742
536.5,0.257466239414
537.3,0.254266931156
538.2,0.255156193044
539,0.257684104338
539.8,0.260039080051
540.6,0.261893898934
541.4,0.265786644965
542.2,0.268767240575
543,0.270399108195
543.8,0.27253537126
544.7,0.277882810712
545.5,0.283619355222
546.3,0.288964251503
547.1,0.292772225189
547.9,0.298478251655
548.7,0.30385112281
549.5,0.310086976425
550.4,0.315425090918
551.2,0.322722294279
552,0.329181099158
552.8,0.334795571493
553.6,0.339961598128
554.4,0.346724735722
555.2,0.353990573315
556,0.360557886795
556.9,0.367350694709
557.7,0.378023532803
558.5,0.391002178649
559.3,0.40396471775
560.1,0.414831684511
560.9,0.425379059536
561.7,0.435455948052
562.5,0.447907309919
563.4,0.455947966735
564.2,0.463696158965
565,0.470341463001
565.8,0.479418885583
566.6,0.489778066004
567.4,0.495005128727
568.2,0.500174546256
569,0.504985376771
569.9,0.51583708451
570.7,0.525958054644
571.5,0.531141035748
572.3,0.533303578241
573.1,0.53654018633
573.9,0.540963607233
574.7,0.541463764062
575.5,0.538275476209
576.4,0.534303044175
577.2,0.532687283301
578,0.531933657164
578.8,0.529097174538
579.6,0.526738807931
580.4,0.523917584327
581.2,0.523959970499
582.1,0.517844493612
582.9,0.509796207285
583.7,0.498381611183
584.5,0.490520671736
585.3,0.479019607843
586.1,0.46464391377
586.9,0.444180717683
587.7,0.426989734069
588.5,0.414969015708
589.2,0.409327416224
590,0.405526224325
590.7,0.402983054008
591.5,0.400583996677
592.2,0.396535269534
593,0.390145977976
593.7,0.385202054882
594.5,0.38240371981
595.2,0.380566703119
596,0.376106830108
596.7,0.372464162492
597.5,0.368584132313
598.2,0.363135813772
599,0.357296694726
599.7,0.350867560167
600.5,0.34793698024
601.2,0.34528191043
602,0.343076134042
602.7,0.341219619711
603.4,0.339208819715
604.2,0.337984707069
604.9,0.335269448895
605.7,0.330013563575
606.4,0.325907191238
607.2,0.322283173537
607.9,0.320823393776
608.7,0.320771682646
609.4,0.318145435433
610.2,0.317014572366
610.9,0.31337190475
611.7,0.31211473089
612.4,0.312099471868
613.2,0.309457965633
613.9,0.306713884862
614.7,0.301675016743
615.4,0.301256241364
616.2,0.302991531243
616.9,0.30508371269
617.7,0.30439112264
618.4,0.302342175089
619.1,0.301661453168
619.9,0.301784373066
620.6,0.299200512025
621.4,0.294645693989
622.1,0.290079855548
622.9,0.288351347456
623.6,0.286438035655
624.4,0.284359417784
625.1,0.27979781796
625.9,0.275543094021
626.6,0.273650975306
627.4,0.273760331629
628.1,0.274252858947
628.9,0.272570127921
629.6,0.271395183235
630.4,0.271741902122
631.1,0.273087239219
631.9,0.274851351695
632.6,0.273716250011
633.4,0.271178166035
634.1,0.26926146334
634.8,0.269667522867
635.6,0.271668150183
636.3,0.272993989641
637.1,0.270902655918
637.8,0.266049439231
638.6,0.262254181396
639.3,0.259247306359
640.1,0.258571670778
640.8,0.256685486127
641.6,0.252655408899
642.3,0.24762162712
643.1,0.24249629121
643.8,0.237519306901
644.6,0.233038240804
645.3,0.225585904055
646.1,0.218647287709
646.8,0.210699032748
647.6,0.206756271034
648.3,0.203580699033
649.1,0.200722175597
649.8,0.196771784373
650.5,0.193471597026
651.3,0.1915175945
652,0.18932114307
652.8,0.185848020142
653.5,0.178790722515
654.3,0.167721149852
655,0.160259488145
655.8,0.157890101133
656.5,0.160843569594
657.3,0.16574341107
658,0.166542814272
658.8,0.167188779533
659.5,0.166230852047
660.3,0.16703025525
661,0.166179140917
661.8,0.164518450701
662.5,0.162358451379
663.3,0.159987368921
664,0.158468248519
664.8,0.158555564033
665.5,0.158028280054
666.2,0.156905894221
667,0.155213838237
667.8,0.152819019523
668.5,0.150443698448
669.2,0.149480684621
670,0.149790103677
670.7,0.147775065063
671.5,0.14635936692
672.2,0.145110670295
672.9,0.144422318863
673.7,0.14397556861
674.4,0.144929257479
675.2,0.145891423582
675.9,0.145222569789
676.7,0.144557954613
677.4,0.145108127125
678.1,0.1441849563
678.9,0.143557640955
679.6,0.142464077719
680.4,0.14182828514
681.1,0.141287437586
681.9,0.14209192713
682.6,0.142904893907
683.3,0.14198341853
684.1,0.13884768953
684.8,0.132877173351
685.6,0.12742631164
686.3,0.123922670668
687.1,0.124547442842
687.8,0.124953502369
688.5,0.12557488365
689.3,0.126091147224
690,0.12587073913
690.8,0.125422293431
691.5,0.124221069318
692.3,0.122440002374
693,0.121791493943
693.7,0.120539406424
694.5,0.121410866119
695.2,0.122911336606
696,0.124614412994
696.7,0.125511304392
697.5,0.123074947229
698.2,0.120246094114
698.9,0.11766647169
699.7,0.115342861745
700.4,0.112794605088
701.2,0.111907038648
701.9,0.110121733086
702.7,0.109740257538
703.4,0.108528013021
704.1,0.10817027373
704.9,0.107063994642
705.6,0.105019285708
