"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0167251595839
381,0.0166115646432
381.8,0.0152738570569
382.7,0.0159613607657
383.5,0.0160435899392
384.3,0.0172482049456
385.2,0.0171863211346
386,0.0172575299034
386.8,0.0165708739181
387.6,0.0160359604283
388.5,0.0159672948297
389.3,0.0162216118613
390.1,0.0160647830252
391,0.015583276112
391.8,0.0156282054543
392.6,0.0162656934802
393.5,0.0164971219789
394.3,0.0168845315904
395.1,0.0167455049465
395.9,0.0171566508142
396.8,0.0168735111857
397.6,0.0169913447437
398.4,0.0170430558735
399.3,0.016744657223
400.1,0.016530183193
400.9,0.0156892415418
401.8,0.0160418944923
402.6,0.0160520671736
403.4,0.0160452853861
404.2,0.0153713452523
405.1,0.0151916278833
405.9,0.0157740138857
406.7,0.0161215804956
407.6,0.0162394140536
408.4,0.0168574044404
409.2,0.0164293041038
410.1,0.0164318472741
410.9,0.0157536685232
411.7,0.0160376558751
412.5,0.0160910624518
413.4,0.0161071691971
414.2,0.0165683307478
415,0.0159579698719
415.9,0.0158638725702
416.7,0.0160808897705
417.5,0.0164072632944
418.4,0.0162173732442
419.2,0.0156951756059
420,0.0162699320974
420.8,0.0160698693658
421.7,0.0166624280495
422.5,0.0164674516586
423.3,0.0170845943219
424.2,0.0165217059586
425,0.0170371218094
425.8,0.0167624594152
426.7,0.0170871374923
427.5,0.0161342963472
428.3,0.016296211524
429.1,0.0160147673423
430,0.0157858820139
430.8,0.015921517764
431.6,0.0159435585735
432.5,0.0161563371566
433.3,0.0159672948297
434.1,0.0154951128744
435,0.0161173418784
435.8,0.0156951756059
436.6,0.0164148928054
437.4,0.0159545789782
438.3,0.0167412663293
439.1,0.0163063842052
439.9,0.0169574358061
440.8,0.0166124123666
441.6,0.0171574985377
442.4,0.0167438094996
443.3,0.016572569365
444.1,0.0162275459254
444.9,0.0160452853861
445.7,0.0164920356383
446.6,0.0168082364809
447.4,0.0169040292295
448.2,0.0170871374923
449.1,0.0168574044404
449.9,0.016648016751
450.7,0.0158918474437
451.6,0.0155603875792
452.4,0.0159249086578
453.2,0.0163903088256
454,0.0167573730746
454.9,0.0161944847113
455.7,0.0161546417097
456.5,0.0161724439019
457.4,0.0169192882514
458.2,0.0165598535134
459,0.0164911879149
459.9,0.0162453481176
460.7,0.0165886761103
461.5,0.0166183464307
462.3,0.0166463213041
463.2,0.0166107169197
464,0.0167845002246
464.8,0.0167251595839
