"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0463087154447
381,0.0472424828124
381.8,0.0490227020337
382.7,0.0509360138348
383.5,0.0523228893806
384.3,0.0539852750439
385.2,0.055933343506
386,0.0583357917313
386.8,0.0603143782372
387.6,0.0628168578283
388.5,0.0646589608606
389.3,0.0675997134695
390.1,0.069832617007
391,0.0731989267821
391.8,0.0758734942312
392.6,0.0785412798928
393.5,0.0813006196858
394.3,0.0843566626824
395.1,0.0884537100616
395.9,0.092479548672
396.8,0.096858040233
397.6,0.100974585251
398.4,0.104578257589
399.3,0.107912353874
400.1,0.111722023007
400.9,0.116353136153
401.8,0.121198723329
402.6,0.125545849122
403.4,0.130380415893
404.2,0.135089519595
405.1,0.140801480125
405.9,0.145179971686
406.7,0.149914507091
407.6,0.154059874706
408.4,0.158473122928
409.2,0.161401159686
410.1,0.163482320728
410.9,0.167204674347
411.7,0.170598111272
412.5,0.174469664217
413.4,0.175213965396
414.2,0.17809198647
415,0.179846773988
415.9,0.181275187983
416.7,0.18262306825
417.5,0.183465705348
418.4,0.185045861838
419.2,0.185184888482
420,0.186459864534
420.8,0.187609377517
421.7,0.188127336538
422.5,0.187905232997
423.3,0.187867085442
424.2,0.187171952222
425,0.187039707366
425.8,0.186731983758
426.7,0.188111229792
427.5,0.188324008376
428.3,0.189621025237
429.1,0.19163352068
430,0.194818417639
430.8,0.198317819994
431.6,0.201572230276
432.5,0.205811695193
433.3,0.210035053364
434.1,0.21539097005
435,0.220388299721
435.8,0.227215864296
436.6,0.233345752482
437.4,0.240461543026
438.3,0.247025465612
439.1,0.254127692582
439.9,0.261191771996
440.8,0.267500529827
441.6,0.274224672143
442.4,0.279894246501
443.3,0.285802878869
444.1,0.290977382739
444.9,0.29517107059
445.7,0.299057882556
446.6,0.302263124878
447.4,0.306025321499
448.2,0.307590218967
449.1,0.308064096369
449.9,0.309202588947
450.7,0.310365665505
451.6,0.312328992989
452.4,0.313106355383
453.2,0.314206700406
454,0.314344031603
454.9,0.312694361791
455.7,0.312333231607
456.5,0.309795995354
457.4,0.30911951205
458.2,0.307451192323
459,0.308002212558
459.9,0.307556310029
460.7,0.308089528072
461.5,0.309430626552
462.3,0.312983435484
463.2,0.315625789442
464,0.318059603435
464.8,0.320420513212
465.7,0.324416681502
466.5,0.328633257886
467.3,0.334917431737
468.2,0.34124653493
469,0.349978934073
469.8,0.358078083806
470.6,0.366362884972
471.5,0.374590888668
472.3,0.384868687639
473.1,0.393673990997
474,0.400556657596
474.8,0.405431915092
475.6,0.407888617617
476.5,0.41035210193
477.3,0.409610343921
478.1,0.410276654544
478.9,0.409135618796
479.8,0.406498351178
480.6,0.404684223019
481.4,0.402845510881
482.3,0.403376185753
483.1,0.40034811763
483.9,0.396704602291
484.8,0.393404414944
485.6,0.390307681222
486.4,0.388565609556
487.2,0.386416630638
488.1,0.385687588481
