

380.20	0.020	
381.00	0.020	
381.80	0.020	
382.70	0.020	
383.50	0.020	
384.30	0.021	
385.20	0.021	
386.00	0.021	
386.80	0.020	
387.60	0.020	
388.50	0.020	
389.30	0.020	
390.10	0.020	
391.00	0.020	
391.80	0.021	
392.60	0.021	
393.50	0.021	
394.30	0.021	
395.10	0.021	
395.90	0.021	
396.80	0.020	
397.60	0.020	
398.40	0.020	
399.30	0.020	
400.10	0.021	
400.90	0.020	
401.80	0.021	
402.60	0.021	
403.40	0.021	
404.20	0.020	
405.10	0.020	
405.90	0.021	
406.70	0.021	
407.60	0.021	
408.40	0.022	
409.20	0.022	
410.10	0.022	
410.90	0.022	
411.70	0.022	
412.50	0.022	
413.40	0.022	
414.20	0.022	
415.00	0.021	
415.90	0.022	
416.70	0.022	
417.50	0.023	
418.40	0.022	
419.20	0.022	
420.00	0.023	
420.80	0.024	
421.70	0.025	
422.50	0.025	
423.30	0.026	
424.20	0.026	
425.00	0.026	
425.80	0.027	
426.70	0.027	
427.50	0.029	
428.30	0.031	
429.10	0.032	
430.00	0.033	
430.80	0.035	
431.60	0.036	
432.50	0.039	
433.30	0.042	
434.10	0.046	
435.00	0.050	
435.80	0.055	
436.60	0.060	
437.40	0.064	
438.30	0.071	
439.10	0.078	
439.90	0.086	
440.80	0.092	
441.60	0.100	
442.40	0.106	
443.30	0.112	
444.10	0.117	
444.90	0.121	
445.70	0.124	
446.60	0.126	
447.40	0.126	
448.20	0.127	
449.10	0.125	
449.90	0.123	
450.70	0.121	
451.60	0.119	
452.40	0.117	
453.20	0.114	
454.00	0.110	
454.90	0.105	
455.70	0.100	
456.50	0.097	
457.40	0.093	
458.20	0.089	
459.00	0.084	
459.90	0.078	
460.70	0.075	
461.50	0.072	
462.30	0.070	
463.20	0.066	
464.00	0.064	
464.80	0.061	
465.70	0.060	
466.50	0.058	
467.30	0.056	
468.20	0.054	
469.00	0.053	
469.80	0.052	
470.60	0.051	
471.50	0.050	
472.30	0.050	
473.10	0.048	
474.00	0.047	
474.80	0.046	
475.60	0.046	
476.50	0.045	
477.30	0.044	
478.10	0.044	
478.90	0.043	
479.80	0.042	
480.60	0.041	
481.40	0.041	
482.30	0.041	
483.10	0.041	
483.90	0.040	
484.80	0.040	
485.60	0.040	
486.40	0.041	
487.20	0.041	
488.10	0.040	
488.90	0.039	
489.70	0.039	
490.60	0.039	
491.40	0.039	
492.20	0.038	
493.10	0.038	
493.90	0.038	
494.70	0.038	
495.50	0.038	
496.40	0.038	
497.20	0.038	
498.00	0.039	
498.90	0.040	
499.70	0.041	
500.50	0.040	
501.40	0.040	
502.20	0.041	
503.00	0.042	
503.80	0.042	
504.70	0.043	
505.50	0.043	
506.30	0.044	
507.20	0.044	
508.00	0.045	
508.80	0.046	
509.70	0.047	
510.50	0.048	
511.30	0.050	
512.20	0.051	
513.00	0.052	
513.80	0.053	
514.60	0.054	
515.40	0.055	
